group;year;week;value
75to84;2018;3;4188
75to84;2018;4;5104
75to84;2018;5;6058
75to84;2018;6;6912
75to84;2018;7;7917
75to84;2018;8;8959
75to84;2018;9;10480
75to84;2018;10;11843
75to84;2018;11;12684
75to84;2018;12;13184
75to84;2018;13;13781
75to84;2018;14;14306
75to84;2018;15;14728
75to84;2018;16;14932
75to84;2018;17;14746
75to84;2018;18;14631
75to84;2018;19;14490
75to84;2018;20;14190
75to84;2018;21;14198
75to84;2018;22;14285
75to84;2018;23;14342
75to84;2018;24;14127
75to84;2018;25;14090
75to84;2018;26;14402
75to84;2018;27;14577
75to84;2018;28;14620
75to84;2018;29;14818
75to84;2018;30;15132
75to84;2018;31;15654
75to84;2018;32;16227
75to84;2018;33;16174
75to84;2018;34;16256
75to84;2018;35;16168
75to84;2018;36;16022
75to84;2018;37;15876
75to84;2018;38;15709
75to84;2018;39;15538
75to84;2018;40;15428
75to84;2018;41;15433
75to84;2018;42;15196
75to84;2018;43;15152
75to84;2018;44;15211
75to84;2018;45;15239
